particion,EMD,Tiempo,combinacion
"{, (, ', a, _, t, ', ,, ), }",0.0,0.28411269999924116,"['a_t', 'b_t', 'a_t+1']"
"{, (, ', b, _, t, ', ,, ), }",0.0,0.039283500002056826,"['a_t', 'b_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.5,0.043421100002888124,"['a_t', 'b_t', 'c_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.03419459999713581,"['a_t', 'b_t', 'd_t+1']"
"{, (, ', a, _, t, ', ,, ), }",0.0,0.034970299995620735,"['a_t', 'b_t', 'e_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.03573409999808064,"['a_t', 'b_t', 'f_t+1']"
"{, (, ', a, _, t, ', ,, ), }",0.0,0.03578460000426276,"['a_t', 'c_t', 'a_t+1']"
"{, (, ', a, _, t, ', ,, ), }",0.0,0.034091200002876576,"['a_t', 'c_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), }",0.0,0.0334041999958572,"['a_t', 'c_t', 'c_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), }",0.0,0.035732000003918074,"['a_t', 'c_t', 'd_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', e, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), }",0.0,0.03430260000459384,"['a_t', 'c_t', 'e_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), }",0.0,0.03376209999987623,"['a_t', 'c_t', 'f_t+1']"
"{, (, ', a, _, t, ', ,, ), }",0.0,0.034289400005945936,"['a_t', 'd_t', 'a_t+1']"
"{, (, ', d, _, t, ', ,, ), }",0.0,0.0336064000002807,"['a_t', 'd_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.03381950000039069,"['a_t', 'd_t', 'c_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.03338090000033844,"['a_t', 'd_t', 'd_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', e, _, t, +, 1, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.03440690000570612,"['a_t', 'd_t', 'e_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.03643010000087088,"['a_t', 'd_t', 'f_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', a, _, t, +, 1, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.03402330000244547,"['a_t', 'e_t', 'a_t+1']"
"{, (, ', e, _, t, ', ,, ), }",0.0,0.03362070000002859,"['a_t', 'e_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.03492960000585299,"['a_t', 'e_t', 'c_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.038892099997610785,"['a_t', 'e_t', 'd_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', e, _, t, +, 1, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.03260410000075353,"['a_t', 'e_t', 'e_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.03459429999929853,"['a_t', 'e_t', 'f_t+1']"
"{, (, ', f, _, t, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', a, _, t, +, 1, ', ,, ), }",0.0,0.03430990000197198,"['a_t', 'f_t', 'a_t+1']"
"{, (, ', f, _, t, ', ,, ), }",0.0,0.03452159999869764,"['a_t', 'f_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', f, _, t, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), }",0.0,0.034974300004250836,"['a_t', 'f_t', 'c_t+1']"
"{, (, ', f, _, t, ', ,, ), ,,  , (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), }",0.0,0.031575599998177495,"['a_t', 'f_t', 'd_t+1']"
"{, (, ', f, _, t, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', e, _, t, +, 1, ', ,, ), }",0.0,0.03325320000294596,"['a_t', 'f_t', 'e_t+1']"
"{, (, ', f, _, t, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), }",0.0,0.035778299999947194,"['a_t', 'f_t', 'f_t+1']"
"{, (, ', a, _, t, +, 1, ', ,, ), }",0.0,0.02952079999522539,"['a_t', 'a_t+1', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', a, _, t, +, 1, ', ,, ), }",0.0,0.03178479999769479,"['a_t', 'a_t+1', 'c_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', a, _, t, +, 1, ', ,, ), ,,  , (, ', d, _, t, +, 1, ', ,, ), }",0.0,0.03356070000154432,"['a_t', 'a_t+1', 'd_t+1']"
"{, (, ', a, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', e, _, t, +, 1, ', ,, ), }",0.0,0.031015900000056718,"['a_t', 'a_t+1', 'e_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', a, _, t, +, 1, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), }",0.0,0.031163300001935568,"['a_t', 'a_t+1', 'f_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), }",0.0,0.03256169999804115,"['a_t', 'b_t+1', 'c_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), }",0.0,0.031503199999860954,"['a_t', 'b_t+1', 'd_t+1']"
"{, (, ', e, _, t, +, 1, ', ,, ), }",0.0,0.03218590000324184,"['a_t', 'b_t+1', 'e_t+1']"
"{, (, ', f, _, t, +, 1, ', ,, ), }",0.0,0.030794500002230052,"['a_t', 'b_t+1', 'f_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', d, _, t, +, 1, ', ,, ), }",0.0,0.03136369999992894,"['a_t', 'c_t+1', 'd_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', e, _, t, +, 1, ', ,, ), }",0.0,0.03362300000299001,"['a_t', 'c_t+1', 'e_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), }",0.0,0.03169080000225222,"['a_t', 'c_t+1', 'f_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', e, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), }",0.0,0.03351290000136942,"['a_t', 'd_t+1', 'e_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', a, _, t, ', ,, ), }",0.0,0.03129189999890514,"['a_t', 'd_t+1', 'f_t+1']"
"{, (, ', a, _, t, ', ,, ), ,,  , (, ', e, _, t, +, 1, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), }",0.0,0.030189199998858385,"['a_t', 'e_t+1', 'f_t+1']"
"{, (, ', c, _, t, ', ,, ), }",0.0,0.0331032000030973,"['b_t', 'c_t', 'a_t+1']"
"{, (, ', b, _, t, ', ,, ), }",0.0,0.0344903000004706,"['b_t', 'c_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.03446529999928316,"['b_t', 'c_t', 'c_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.03349829999933718,"['b_t', 'c_t', 'd_t+1']"
"{, (, ', c, _, t, ', ,, ), }",0.0,0.03252319999592146,"['b_t', 'c_t', 'e_t+1']"
"{, (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), }",0.0,0.0328397000048426,"['b_t', 'c_t', 'f_t+1']"
"{, (, ', d, _, t, ', ,, ), }",0.0,0.034483499999623746,"['b_t', 'd_t', 'a_t+1']"
"{, (, ', b, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.033854499997687526,"['b_t', 'd_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.03538279999338556,"['b_t', 'd_t', 'c_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.03464749999693595,"['b_t', 'd_t', 'd_t+1']"
"{, (, ', d, _, t, ', ,, ), }",0.0,0.033654099999694154,"['b_t', 'd_t', 'e_t+1']"
"{, (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.03214570000272943,"['b_t', 'd_t', 'f_t+1']"
"{, (, ', e, _, t, ', ,, ), }",0.0,0.03261760000168579,"['b_t', 'e_t', 'a_t+1']"
"{, (, ', b, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.03399600000557257,"['b_t', 'e_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.034783800001605414,"['b_t', 'e_t', 'c_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.03220580000197515,"['b_t', 'e_t', 'd_t+1']"
"{, (, ', e, _, t, ', ,, ), }",0.0,0.03429660000256263,"['b_t', 'e_t', 'e_t+1']"
"{, (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.0333394000044791,"['b_t', 'e_t', 'f_t+1']"
"{, (, ', f, _, t, ', ,, ), }",0.0,0.03333059999567922,"['b_t', 'f_t', 'a_t+1']"
"{, (, ', f, _, t, ', ,, ), ,,  , (, ', b, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.03438659999665106,"['b_t', 'f_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', f, _, t, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.032993699998769443,"['b_t', 'f_t', 'c_t+1']"
"{, (, ', f, _, t, ', ,, ), ,,  , (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.034674700000323355,"['b_t', 'f_t', 'd_t+1']"
"{, (, ', f, _, t, ', ,, ), }",0.0,0.034896900004241616,"['b_t', 'f_t', 'e_t+1']"
"{, (, ', f, _, t, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.04150429999572225,"['b_t', 'f_t', 'f_t+1']"
"{, (, ', b, _, t, +, 1, ', ,, ), }",0.0,0.03146330000163289,"['b_t', 'a_t+1', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), }",0.0,0.0330614999984391,"['b_t', 'a_t+1', 'c_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), }",0.0,0.033015499997418374,"['b_t', 'a_t+1', 'd_t+1']"
"{, (, ', a, _, t, +, 1, ', ,, ), }",0.125,0.030177399996318854,"['b_t', 'a_t+1', 'e_t+1']"
"{, (, ', f, _, t, +, 1, ', ,, ), }",0.0,0.03394779999507591,"['b_t', 'a_t+1', 'f_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.030295500000647735,"['b_t', 'b_t+1', 'c_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.031938200001604855,"['b_t', 'b_t+1', 'd_t+1']"
"{, (, ', b, _, t, +, 1, ', ,, ), }",0.0,0.035059000001638196,"['b_t', 'b_t+1', 'e_t+1']"
"{, (, ', b, _, t, +, 1, ', ,, ), ,,  , (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.031006900004285853,"['b_t', 'b_t+1', 'f_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', b, _, t, ', ,, ), }",0.0,0.032162500006961636,"['b_t', 'c_t+1', 'd_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), }",0.0,0.03215210000053048,"['b_t', 'c_t+1', 'e_t+1']"
